                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8227,                 5.1006,                 2.1055,                0.05526,                0.06677,                0.01503,                0.00966,                 1.2504,                 5.3542,                 1.1759,              8.721e-05,              8.721e-05,              8.721e-05
                      2,                  1.409,                 3.0813,                 1.2131,                0.19198,                0.16732,                0.15087,                0.11496,                0.98868,                 3.5886,                 1.0078,             0.00017472,             0.00017472,             0.00017472
                      3,                 1.2344,                 2.1151,                 1.1157,                0.36946,                0.31328,                0.34292,                0.26663,                0.95799,                 2.2646,                 1.0248,             0.00025924,             0.00025924,             0.00025924
                      4,                 1.1345,                 1.6846,                 1.0815,                0.55214,                0.55899,                0.56714,                0.45224,                0.88872,                 1.3173,                0.99904,             0.00030701,             0.00030701,             0.00030701
                      5,                 1.1066,                 1.3933,                 1.0436,                0.69025,                0.64011,                0.70258,                0.55285,                0.89699,                  1.087,                0.97862,             0.00030701,             0.00030701,             0.00030701
                      6,                 1.0886,                 1.2114,                 1.0523,                0.78274,                0.66541,                0.74828,                0.60078,                0.86367,                0.98983,                0.96733,             0.00030168,             0.00030168,             0.00030168
                      7,                 1.0299,                 1.1037,                 1.0343,                0.79091,                0.78857,                0.83459,                0.67117,                0.84684,                0.87102,                0.95942,             0.00029635,             0.00029635,             0.00029635
                      8,                   1.02,                0.98748,                 1.0256,                0.85063,                0.86087,                0.88739,                 0.7253,                0.83968,                0.78829,                0.95372,             0.00029102,             0.00029102,             0.00029102
                      9,                0.99706,                0.92858,                 1.0223,                0.86322,                0.86557,                0.90347,                0.74147,                0.83284,                0.76867,                0.95644,             0.00028569,             0.00028569,             0.00028569
                     10,                0.98012,                0.87752,                 1.0097,                0.89587,                 0.9223,                0.94437,                0.76925,                0.84617,                0.69419,                0.96375,             0.00028036,             0.00028036,             0.00028036
                     11,                0.97248,                0.83746,                 1.0064,                0.91678,                0.90966,                0.94407,                 0.7712,                0.83628,                0.69793,                 0.9499,             0.00027503,             0.00027503,             0.00027503
                     12,                0.95962,                0.79558,                0.99231,                 0.9284,                0.93211,                0.96103,                0.78304,                 0.8178,                0.68139,                0.93415,             0.00026971,             0.00026971,             0.00026971
                     13,                0.93875,                0.76839,                0.98252,                0.93766,                0.93017,                0.96326,                0.79301,                0.78507,                0.64474,                0.92973,             0.00026438,             0.00026438,             0.00026438
                     14,                0.92313,                0.74224,                0.98225,                0.95076,                0.95744,                0.97756,                0.81643,                0.77109,                0.58982,                0.91548,             0.00025905,             0.00025905,             0.00025905
